feature	importance
L_3_A16	1.288833
L_4_A17	1.288833
L_4_A5	1.069096
L_9_A7	0.869791
L_7_A10	0.869791
L_10_A13	0.869791
L_8_A13	0.675259
L_10_A19	0.623144
L_6_A9	0.593284
L_8_A3	0.554015
L_3_A3	0.554015
L_10_A10	0.554015
L_1_A4	0.453547
L_4_A7	0.315057
L_5_A17	0.222196
L_3_A6	0.114419
L_9_A8	0.023428
L_8_A8	0.013648
L_7_A6	0.0
L_6_A4	0.0
L_6_A5	0.0
L_1_A12	0.0
L_10_A2	0.0
L_7_A5	0.0
L_7_missing	0.0
L_5_A8	0.0
L_10_A18	0.0
L_10_A17	0.0
L_8_A6	0.0
L_8_A7	0.0
L_9_A12	0.0
L_10_A16	0.0
L_5_missing	0.0
L_2_A5	0.0
L_5_A5	0.0
L_2_A7	0.0
L_5_A18	0.0
L_5_A16	0.0
L_5_A11	0.0
L_1_A3	0.0
L_4_A44	0.0
L_4_A16	0.0
L_4_A15	0.0
L_3_A9	0.0
L_1_A6	0.0
L_2_A13	0.0
L_3_A15	0.0
L_3_A14	0.0
L_2_missing	0.0
L_5_A44	0.0
